2052                          IN LIST OR FILL STATEMENT                         
2061 SUBSCRIPTED VARIABLE     MISSING RIGHT BRACKET IN SUBSCRIPTED VARIABLE     
2071 SUBSCRIPTED VARIABLE     MISSING LEFT BRACKET IN SUBSCRIPTED VARIABLE      
2081 SUBSCRIPTED VARIABLE     WRONG NUMBER OF SUBSCRIPTS IN SUBSCRIPTED VARIABLE
2091 SUBSCRIPTED VARIABLE     PARTIAL WORD DESIGNATOR NOT LEFTMOST IN LEFT      
2092                          PART LIST                                         
2101 SUBSCRIPTED VARIABLE     MISSING "." OR ASSIGNMENT OPERATOR                
2111 VARIABLE                 PROCEDURE IDENTIFIER APPEARS OUTSIDE OF           
2112                          SCOPE IN LEFT PART                                
2121 VARIABLE                SUB-ARRAY DESIGNATOR PERMITTED                     
2122                         AS ACTUAL PARAMETER ONLY.                          
2131                         POINTER REQUIRES ARRAY ROW, SUBSCRIPTED VARIABLE,  
2132                         OR ONE-DIMENSIONAL ARRAY ID                        
2141                         POINTER RELATION MUST BE EQL OR NEQ ONLY.          
2151                         CHARACTER SIZE MUST BE LITERAL 6 OR 8.             
2161                         LEVEL OF POINTER EXPRESSION EXCEEDS LEVEL OF       
2162                         LEFT-PART POINTER IDENTIFIER                       
2171                         LEFT-PART POINTER MAY NOT BE CALL-BY-NAME FORMAL   
2172                         PARAMETER.                                         
2181                         POINTER UPDATE NOT PERMITTED WITH POINTER RELATION.
2191                         RELATIONAL OPERATOR EXPECTED WHEN POINTER UPDATE   
2192                         CONSTRUCT USED.                                    
2501 STREAM STATEMENT         ILLEGAL STREAM STATEMENT                          
2511 STREAM STATEMENT         MISSING ASSIGNMENT OPERATOR IN STREAM             
2512                          STATEMENT                                         
2521 INDEX                    MISSING + OR - IN STREAM INDEX STATEMENT          
2531 INDEX                    MISSING NUMBER OR STREAM VARIABLE IN STREAM INDEX 
2532                          STATEMENT                                         
2551 DESTINATION STRING       MISSING STRING IN DS := LIT STATEMENT             
2561 RELEASE STATEMENT        MISSING PARENTHESIS OR FILE IDENTIFIER            
2562                          NOT A FORMAL PARAMETER OF STREAM PROCEDURE        
2571 GO TO, LABEL OR JUMP     LABEL SPECIFIED NOT ON THE SAME NEST LEVEL AS     
2572 STATEMENT                PRECEDING APPEARANCE OF THE LABEL                 
2581 LABEL                    MISSING COLON AFTER LABEL                         
2591 LABEL                    LABEL APPEARS MORE THAN ONCE                      
2601 GO TO STATEMENT          MISSING LABEL IN GO TO OR JUMP OUT TO             
2602                          STATEMENT                                         
2611 JUMP STATEMENT           MISSING OUT IN JUMP OUT STATEMENT                 
2621 NESTS                    MISSING PARENTHESIS IN STREAM NEST STATEMENT      
2631 IF STATEMENT             MISSING SC IN IF STATEMENT                        
2641 IF STATEMENT             MISSING RELATIONAL IN IF STATEMENT                
2651 IF STATEMENT             MISSING ALPHA, DC OR STRING IN IF STATEMENT       
2661 IF STATEMENT             MISSING THEN IN IF STATEMENT                      
2671 GO TO STATEMENT          LABEL UNDEFINED IN GO TO STATEMENT                
2681 EMIT LITERAL             REPEAT INDEX GREATER THAN OR EQUAL TO 64          
2682                          WAS SPECIFIED OR MORE THAN 63 FORMAL              
2683                          PARAMETERS, LOCALS AND LABELS WERE USED           
2691 TABLE                    CONSTANT SPECIFIED TOO LARGE OR TOO SMALL         
2701 IF STATEMENT             RELATIONAL OPERATOR OTHER THAN = IN SOURCE        
2702                          FOR ALPHA TEST                                    
2711 IF STATEMENT             IMPROPER CONSTRUCT FOR SOURCE WITH LITERAL TEST   
2751                          JUMP IN STREAM STATEMENT IS LONGER THAN           
2752                          63 SYLLABLES.                                     
2761 STREAMWHILESTATEMENT     MISSING DO IN STREAM WHILE STATEMENT              
2771 STREAMDOSTATEMENT        MISSING UNTIL IN STREAM DO STATEMENT              
2811 DOUBLE STATEMENT         MISSING LEFT PARENTHESIS IN DOUBLE STATEMENT      
2821 DOUBLE STATEMENT         TOO MANY OPERATORS IN DOUBLE STATEMENT            
2831 DOUBLE STATEMENT         TOO MANY OPERANDS IN DOUBLE STATEMENT             
2841 DOUBLE STATEMENT         MISSING COMMA IN DOUBLE STATEMENT                 
2851 DOUBLE STATEMENT         MISSING RIGHT PARENTHESIS IN DOUBLE STATEMENT     
2861                          ILLEGAL PARAMETER IN DOUBLE STATEMENT.            
2891                          ILLEGAL PARAMETER IN DOUBLE STATEMENT.            
2901                          MISSING PERIOD IN FILE ATTRIBUTE PART.            
2911                          MISSING FILE ATTRIBUTE.                           
2921                          MISSING ASSIGNMENT OPERATOR IN FILE ATTRIBUTE     
2922                          STATEMENT.                                        
2931                          FILE ATTRIBUTE IS NOT ASSIGNABLE.                 
                                                                                
